Height (m)  50th percentile dynamic pressure (Pa)  84th percentile dynamic pressure (Pa)  16th percentile dynamic pressure (Pa)
    3.850              0.3756E+03                             0.8843E+03                             0.1350E+03
    3.860              0.3758E+03                             0.8848E+03                             0.1351E+03
    3.870              0.3760E+03                             0.8853E+03                             0.1351E+03
    3.880              0.3762E+03                             0.8857E+03                             0.1352E+03
    3.890              0.3764E+03                             0.8862E+03                             0.1353E+03
    3.900              0.3766E+03                             0.8866E+03                             0.1354E+03
    3.910              0.3768E+03                             0.8871E+03                             0.1354E+03
    3.920              0.3770E+03                             0.8875E+03                             0.1355E+03
    3.930              0.3772E+03                             0.8880E+03                             0.1356E+03
    3.940              0.3774E+03                             0.8885E+03                             0.1357E+03
    3.950              0.3776E+03                             0.8889E+03                             0.1357E+03
    3.960              0.3778E+03                             0.8894E+03                             0.1358E+03
    3.970              0.3780E+03                             0.8898E+03                             0.1359E+03
    3.980              0.3782E+03                             0.8903E+03                             0.1359E+03
    3.990              0.3784E+03                             0.8907E+03                             0.1360E+03
    4.000              0.3786E+03                             0.8911E+03                             0.1361E+03
    4.010              0.3788E+03                             0.8916E+03                             0.1362E+03
    4.020              0.3789E+03                             0.8920E+03                             0.1362E+03
    4.030              0.3791E+03                             0.8925E+03                             0.1363E+03
    4.040              0.3793E+03                             0.8929E+03                             0.1364E+03
    4.050              0.3795E+03                             0.8934E+03                             0.1364E+03
    4.060              0.3797E+03                             0.8938E+03                             0.1365E+03
    4.070              0.3799E+03                             0.8943E+03                             0.1366E+03
    4.080              0.3801E+03                             0.8947E+03                             0.1367E+03
    4.090              0.3803E+03                             0.8951E+03                             0.1367E+03
    4.100              0.3805E+03                             0.8956E+03                             0.1368E+03
    4.110              0.3807E+03                             0.8960E+03                             0.1369E+03
    4.120              0.3809E+03                             0.8964E+03                             0.1369E+03
    4.130              0.3811E+03                             0.8969E+03                             0.1370E+03
    4.140              0.3813E+03                             0.8973E+03                             0.1371E+03
    4.150              0.3814E+03                             0.8977E+03                             0.1371E+03
    4.160              0.3816E+03                             0.8982E+03                             0.1372E+03
    4.170              0.3818E+03                             0.8986E+03                             0.1373E+03
    4.180              0.3820E+03                             0.8990E+03                             0.1374E+03
    4.190              0.3822E+03                             0.8995E+03                             0.1374E+03
    4.200              0.3824E+03                             0.8999E+03                             0.1375E+03
    4.210              0.3826E+03                             0.9003E+03                             0.1376E+03
    4.220              0.3828E+03                             0.9008E+03                             0.1376E+03
    4.230              0.3830E+03                             0.9012E+03                             0.1377E+03
