Height (m)  50th percentile density (kg/m^3)   84th percentile density (kg/m^3)   16th percentile density (kg/m^3) 
   74.370               1.220                              1.220                              1.220
   74.380               1.220                              1.220                              1.220
   74.390               1.220                              1.220                              1.220
   74.400               1.220                              1.220                              1.220
   74.410               1.220                              1.220                              1.220
   74.420               1.220                              1.220                              1.220
   74.430               1.220                              1.220                              1.220
   74.440               1.220                              1.220                              1.220
   74.450               1.220                              1.220                              1.220
   74.460               1.220                              1.220                              1.220
   74.470               1.220                              1.220                              1.220
   74.480               1.220                              1.220                              1.220
   74.490               1.220                              1.220                              1.220
   74.500               1.220                              1.220                              1.220
   74.510               1.220                              1.220                              1.220
   74.520               1.220                              1.220                              1.220
   74.530               1.220                              1.220                              1.220
   74.540               1.220                              1.220                              1.220
   74.550               1.220                              1.220                              1.220
   74.560               1.220                              1.220                              1.220
   74.570               1.220                              1.220                              1.220
   74.580               1.220                              1.220                              1.220
   74.590               1.220                              1.220                              1.220
   74.600               1.220                              1.220                              1.220
   74.610               1.220                              1.220                              1.220
   74.620               1.220                              1.220                              1.220
   74.630               1.220                              1.220                              1.220
   74.640               1.220                              1.220                              1.220
   74.650               1.220                              1.220                              1.220
   74.660               1.220                              1.220                              1.220
   74.670               1.220                              1.220                              1.220
   74.680               1.220                              1.220                              1.220
   74.690               1.220                              1.220                              1.220
   74.700               1.220                              1.220                              1.220
   74.710               1.220                              1.220                              1.220
   74.720               1.220                              1.220                              1.220
   74.730               1.220                              1.220                              1.220
   74.740               1.220                              1.220                              1.220
   74.750               1.220                              1.220                              1.220
   74.760               1.220                              1.220                              1.220
   74.770               1.220                              1.220                              1.220
   74.780               1.220                              1.220                              1.220
   74.790               1.220                              1.220                              1.220
   74.800               1.220                              1.220                              1.220
   74.810               1.220                              1.220                              1.220
   74.820               1.220                              1.220                              1.220
   74.830               1.220                              1.220                              1.220
   74.840               1.220                              1.220                              1.220
   74.850               1.220                              1.220                              1.220
   74.860               1.220                              1.220                              1.220
   74.870               1.220                              1.220                              1.220
   74.880               1.220                              1.220                              1.220
   74.890               1.220                              1.220                              1.220
   74.900               1.220                              1.220                              1.220
   74.910               1.220                              1.220                              1.220
   74.920               1.220                              1.220                              1.220
   74.930               1.220                              1.220                              1.220
   74.940               1.220                              1.220                              1.220
   74.950               1.220                              1.220                              1.220
   74.960               1.220                              1.220                              1.220
   74.970               1.220                              1.220                              1.220
   74.980               1.220                              1.220                              1.220
   74.990               1.220                              1.220                              1.220
   75.000               1.220                              1.220                              1.220
   75.010               1.220                              1.220                              1.220
   75.020               1.220                              1.220                              1.220
   75.030               1.220                              1.220                              1.220
   75.040               1.220                              1.220                              1.220
   75.050               1.220                              1.220                              1.220
   75.060               1.220                              1.220                              1.220
   75.070               1.220                              1.220                              1.220
   75.080               1.220                              1.220                              1.220
   75.090               1.220                              1.220                              1.220
   75.100               1.220                              1.220                              1.220
   75.110               1.220                              1.220                              1.220
   75.120               1.220                              1.220                              1.220
   75.130               1.220                              1.220                              1.220
   75.140               1.220                              1.220                              1.220
   75.150               1.220                              1.220                              1.220
   75.160               1.220                              1.220                              1.220
   75.170               1.220                              1.220                              1.220
   75.180               1.220                              1.220                              1.220
   75.190               1.220                              1.220                              1.220
   75.200               1.220                              1.220                              1.220
   75.210               1.220                              1.220                              1.220
   75.220               1.220                              1.220                              1.220
   75.230               1.220                              1.220                              1.220
   75.240               1.220                              1.220                              1.220
   75.250               1.220                              1.220                              1.220
   75.260               1.220                              1.220                              1.220
   75.270               1.220                              1.220                              1.220
   75.280               1.220                              1.220                              1.220
   75.290               1.220                              1.220                              1.220
   75.300               1.220                              1.220                              1.220
   75.310               1.220                              1.220                              1.220
   75.320               1.220                              1.220                              1.220
   75.330               1.220                              1.220                              1.220
   75.340               1.220                              1.220                              1.220
   75.350               1.220                              1.220                              1.220
   75.360               1.220                              1.220                              1.220
   75.370               1.220                              1.220                              1.220
   75.380               1.220                              1.220                              1.220
   75.390               1.220                              1.220                              1.220
   75.400               1.220                              1.220                              1.220
   75.410               1.220                              1.220                              1.220
   75.420               1.220                              1.220                              1.220
   75.430               1.220                              1.220                              1.220
   75.440               1.220                              1.220                              1.220
   75.450               1.220                              1.220                              1.220
   75.460               1.220                              1.220                              1.220
   75.470               1.220                              1.220                              1.220
   75.480               1.220                              1.220                              1.220
   75.490               1.220                              1.220                              1.220
   75.500               1.220                              1.220                              1.220
   75.510               1.220                              1.220                              1.220
   75.520               1.220                              1.220                              1.220
   75.530               1.220                              1.220                              1.220
   75.540               1.220                              1.220                              1.220
   75.550               1.220                              1.220                              1.220
   75.560               1.220                              1.220                              1.220
   75.570               1.220                              1.220                              1.220
   75.580               1.220                              1.220                              1.220
   75.590               1.220                              1.220                              1.220
   75.600               1.220                              1.220                              1.220
   75.610               1.220                              1.220                              1.220
   75.620               1.220                              1.220                              1.220
   75.630               1.220                              1.220                              1.220
   75.640               1.220                              1.220                              1.220
   75.650               1.220                              1.220                              1.220
   75.660               1.220                              1.220                              1.220
   75.670               1.220                              1.220                              1.220
   75.680               1.220                              1.220                              1.220
   75.690               1.220                              1.220                              1.220
   75.700               1.220                              1.220                              1.220
   75.710               1.220                              1.220                              1.220
   75.720               1.220                              1.220                              1.220
   75.730               1.220                              1.220                              1.220
   75.740               1.220                              1.220                              1.220
   75.750               1.220                              1.220                              1.220
   75.760               1.220                              1.220                              1.220
   75.770               1.220                              1.220                              1.220
   75.780               1.220                              1.220                              1.220
   75.790               1.220                              1.220                              1.220
   75.800               1.220                              1.220                              1.220
   75.810               1.220                              1.220                              1.220
   75.820               1.220                              1.220                              1.220
   75.830               1.220                              1.220                              1.220
   75.840               1.220                              1.220                              1.220
   75.850               1.220                              1.220                              1.220
   75.860               1.220                              1.220                              1.220
   75.870               1.220                              1.220                              1.220
   75.880               1.220                              1.220                              1.220
   75.890               1.220                              1.220                              1.220
   75.900               1.220                              1.220                              1.220
   75.910               1.220                              1.220                              1.220
   75.920               1.220                              1.220                              1.220
   75.930               1.220                              1.220                              1.220
   75.940               1.220                              1.220                              1.220
   75.950               1.220                              1.220                              1.220
   75.960               1.220                              1.220                              1.220
   75.970               1.220                              1.220                              1.220
   75.980               1.220                              1.220                              1.220
   75.990               1.220                              1.220                              1.220
   76.000               1.220                              1.220                              1.220
   76.010               1.220                              1.220                              1.220
   76.020               1.220                              1.220                              1.220
   76.030               1.220                              1.220                              1.220
   76.040               1.220                              1.220                              1.220
   76.050               1.220                              1.220                              1.220
   76.060               1.220                              1.220                              1.220
   76.070               1.220                              1.220                              1.220
   76.080               1.220                              1.220                              1.220
   76.090               1.220                              1.220                              1.220
   76.100               1.220                              1.220                              1.220
   76.110               1.220                              1.220                              1.220
   76.120               1.220                              1.220                              1.220
   76.130               1.220                              1.220                              1.220
   76.140               1.220                              1.220                              1.220
   76.150               1.220                              1.220                              1.220
   76.160               1.220                              1.220                              1.220
   76.170               1.220                              1.220                              1.220
   76.180               1.220                              1.220                              1.220
   76.190               1.220                              1.220                              1.220
   76.200               1.220                              1.220                              1.220
   76.210               1.220                              1.220                              1.220
   76.220               1.220                              1.220                              1.220
   76.230               1.220                              1.220                              1.220
   76.240               1.220                              1.220                              1.220
   76.250               1.220                              1.220                              1.220
   76.260               1.220                              1.220                              1.220
   76.270               1.220                              1.220                              1.220
   76.280               1.220                              1.220                              1.220
   76.290               1.220                              1.220                              1.220
   76.300               1.220                              1.220                              1.220
   76.310               1.220                              1.220                              1.220
   76.320               1.220                              1.220                              1.220
   76.330               1.220                              1.220                              1.220
   76.340               1.220                              1.220                              1.220
   76.350               1.220                              1.220                              1.220
   76.360               1.220                              1.220                              1.220
   76.370               1.220                              1.220                              1.220
   76.380               1.220                              1.220                              1.220
   76.390               1.220                              1.220                              1.220
   76.400               1.220                              1.220                              1.220
   76.410               1.220                              1.220                              1.220
   76.420               1.220                              1.220                              1.220
   76.430               1.220                              1.220                              1.220
   76.440               1.220                              1.220                              1.220
   76.450               1.220                              1.220                              1.220
   76.460               1.220                              1.220                              1.220
   76.470               1.220                              1.220                              1.220
   76.480               1.220                              1.220                              1.220
   76.490               1.220                              1.220                              1.220
   76.500               1.220                              1.220                              1.220
   76.510               1.220                              1.220                              1.220
   76.520               1.220                              1.220                              1.220
   76.530               1.220                              1.220                              1.220
   76.540               1.220                              1.220                              1.220
   76.550               1.220                              1.220                              1.220
   76.560               1.220                              1.220                              1.220
   76.570               1.220                              1.220                              1.220
   76.580               1.220                              1.220                              1.220
   76.590               1.220                              1.220                              1.220
   76.600               1.220                              1.220                              1.220
   76.610               1.220                              1.220                              1.220
   76.620               1.220                              1.220                              1.220
   76.630               1.220                              1.220                              1.220
   76.640               1.220                              1.220                              1.220
   76.650               1.220                              1.220                              1.220
   76.660               1.220                              1.220                              1.220
   76.670               1.220                              1.220                              1.220
   76.680               1.220                              1.220                              1.220
   76.690               1.220                              1.220                              1.220
   76.700               1.220                              1.220                              1.220
   76.710               1.220                              1.220                              1.220
   76.720               1.220                              1.220                              1.220
   76.730               1.220                              1.220                              1.220
   76.740               1.220                              1.220                              1.220
   76.750               1.220                              1.220                              1.220
   76.760               1.220                              1.220                              1.220
   76.770               1.220                              1.220                              1.220
   76.780               1.220                              1.220                              1.220
   76.790               1.220                              1.220                              1.220
   76.800               1.220                              1.220                              1.220
   76.810               1.220                              1.220                              1.220
   76.820               1.220                              1.220                              1.220
   76.830               1.220                              1.220                              1.220
   76.840               1.220                              1.220                              1.220
   76.850               1.220                              1.220                              1.220
   76.860               1.220                              1.220                              1.220
   76.870               1.220                              1.220                              1.220
   76.880               1.220                              1.220                              1.220
   76.890               1.220                              1.220                              1.220
   76.900               1.220                              1.220                              1.220
   76.910               1.220                              1.220                              1.220
   76.920               1.220                              1.220                              1.220
   76.930               1.220                              1.220                              1.220
   76.940               1.220                              1.220                              1.220
   76.950               1.220                              1.220                              1.220
   76.960               1.220                              1.220                              1.220
   76.970               1.220                              1.220                              1.220
   76.980               1.220                              1.220                              1.220
   76.990               1.220                              1.220                              1.220
   77.000               1.220                              1.220                              1.220
   77.010               1.220                              1.220                              1.220
   77.020               1.220                              1.220                              1.220
   77.030               1.220                              1.220                              1.220
   77.040               1.220                              1.220                              1.220
   77.050               1.220                              1.220                              1.220
   77.060               1.220                              1.220                              1.220
   77.070               1.220                              1.220                              1.220
   77.080               1.220                              1.220                              1.220
   77.090               1.220                              1.220                              1.220
   77.100               1.220                              1.220                              1.220
   77.110               1.220                              1.220                              1.220
   77.120               1.220                              1.220                              1.220
   77.130               1.220                              1.220                              1.220
   77.140               1.220                              1.220                              1.220
   77.150               1.220                              1.220                              1.220
   77.160               1.220                              1.220                              1.220
   77.170               1.220                              1.220                              1.220
   77.180               1.220                              1.220                              1.220
   77.190               1.220                              1.220                              1.220
   77.200               1.220                              1.220                              1.220
   77.210               1.220                              1.220                              1.220
   77.220               1.220                              1.220                              1.220
   77.230               1.220                              1.220                              1.220
   77.240               1.220                              1.220                              1.220
   77.250               1.220                              1.220                              1.220
   77.260               1.220                              1.220                              1.220
   77.270               1.220                              1.220                              1.220
   77.280               1.220                              1.220                              1.220
   77.290               1.220                              1.220                              1.220
   77.300               1.220                              1.220                              1.220
   77.310               1.220                              1.220                              1.220
   77.320               1.220                              1.220                              1.220
   77.330               1.220                              1.220                              1.220
   77.340               1.220                              1.220                              1.220
   77.350               1.220                              1.220                              1.220
   77.360               1.220                              1.220                              1.220
   77.370               1.220                              1.220                              1.220
   77.380               1.220                              1.220                              1.220
   77.390               1.220                              1.220                              1.220
   77.400               1.220                              1.220                              1.220
   77.410               1.220                              1.220                              1.220
   77.420               1.220                              1.220                              1.220
   77.430               1.220                              1.220                              1.220
   77.440               1.220                              1.220                              1.220
   77.450               1.220                              1.220                              1.220
   77.460               1.220                              1.220                              1.220
   77.470               1.220                              1.220                              1.220
   77.480               1.220                              1.220                              1.220
   77.490               1.220                              1.220                              1.220
   77.500               1.220                              1.220                              1.220
   77.510               1.220                              1.220                              1.220
   77.520               1.220                              1.220                              1.220
   77.530               1.220                              1.220                              1.220
   77.540               1.220                              1.220                              1.220
   77.550               1.220                              1.220                              1.220
   77.560               1.220                              1.220                              1.220
   77.570               1.220                              1.220                              1.220
   77.580               1.220                              1.220                              1.220
   77.590               1.220                              1.220                              1.220
   77.600               1.220                              1.220                              1.220
   77.610               1.220                              1.220                              1.220
   77.620               1.220                              1.220                              1.220
   77.630               1.220                              1.220                              1.220
   77.640               1.220                              1.220                              1.220
   77.650               1.220                              1.220                              1.220
   77.660               1.220                              1.220                              1.220
   77.670               1.220                              1.220                              1.220
   77.680               1.220                              1.220                              1.220
   77.690               1.220                              1.220                              1.220
   77.700               1.220                              1.220                              1.220
   77.710               1.220                              1.220                              1.220
   77.720               1.220                              1.220                              1.220
   77.730               1.220                              1.220                              1.220
   77.740               1.220                              1.220                              1.220
   77.750               1.220                              1.220                              1.220
   77.760               1.220                              1.220                              1.220
   77.770               1.220                              1.220                              1.220
   77.780               1.220                              1.220                              1.220
   77.790               1.220                              1.220                              1.220
   77.800               1.220                              1.220                              1.220
   77.810               1.220                              1.220                              1.220
   77.820               1.220                              1.220                              1.220
   77.830               1.220                              1.220                              1.220
   77.840               1.220                              1.220                              1.220
   77.850               1.220                              1.220                              1.220
   77.860               1.220                              1.220                              1.220
   77.870               1.220                              1.220                              1.220
   77.880               1.220                              1.220                              1.220
   77.890               1.220                              1.220                              1.220
   77.900               1.220                              1.220                              1.220
   77.910               1.220                              1.220                              1.220
   77.920               1.220                              1.220                              1.220
   77.930               1.220                              1.220                              1.220
   77.940               1.220                              1.220                              1.220
   77.950               1.220                              1.220                              1.220
   77.960               1.220                              1.220                              1.220
   77.970               1.220                              1.220                              1.220
   77.980               1.220                              1.220                              1.220
   77.990               1.220                              1.220                              1.220
   78.000               1.220                              1.220                              1.220
   78.010               1.220                              1.220                              1.220
   78.020               1.220                              1.220                              1.220
   78.030               1.220                              1.220                              1.220
   78.040               1.220                              1.220                              1.220
   78.050               1.220                              1.220                              1.220
   78.060               1.220                              1.220                              1.220
   78.070               1.220                              1.220                              1.220
   78.080               1.220                              1.220                              1.220
   78.090               1.220                              1.220                              1.220
   78.100               1.220                              1.220                              1.220
   78.110               1.220                              1.220                              1.220
   78.120               1.220                              1.220                              1.220
   78.130               1.220                              1.220                              1.220
   78.140               1.220                              1.220                              1.220
   78.150               1.220                              1.220                              1.220
   78.160               1.220                              1.220                              1.220
   78.170               1.220                              1.220                              1.220
   78.180               1.220                              1.220                              1.220
   78.190               1.220                              1.220                              1.220
   78.200               1.220                              1.220                              1.220
   78.210               1.220                              1.220                              1.220
   78.220               1.220                              1.220                              1.220
   78.230               1.220                              1.220                              1.220
   78.240               1.220                              1.220                              1.220
   78.250               1.220                              1.220                              1.220
   78.260               1.220                              1.220                              1.220
   78.270               1.220                              1.220                              1.220
   78.280               1.220                              1.220                              1.220
   78.290               1.220                              1.220                              1.220
   78.300               1.220                              1.220                              1.220
   78.310               1.220                              1.220                              1.220
   78.320               1.220                              1.220                              1.220
   78.330               1.220                              1.220                              1.220
   78.340               1.220                              1.220                              1.220
   78.350               1.220                              1.220                              1.220
   78.360               1.220                              1.220                              1.220
   78.370               1.220                              1.220                              1.220
   78.380               1.220                              1.220                              1.220
   78.390               1.220                              1.220                              1.220
   78.400               1.220                              1.220                              1.220
   78.410               1.220                              1.220                              1.220
   78.420               1.220                              1.220                              1.220
   78.430               1.220                              1.220                              1.220
   78.440               1.220                              1.220                              1.220
   78.450               1.220                              1.220                              1.220
   78.460               1.220                              1.220                              1.220
   78.470               1.220                              1.220                              1.220
   78.480               1.220                              1.220                              1.220
   78.490               1.220                              1.220                              1.220
   78.500               1.220                              1.220                              1.220
   78.510               1.220                              1.220                              1.220
   78.520               1.220                              1.220                              1.220
   78.530               1.220                              1.220                              1.220
   78.540               1.220                              1.220                              1.220
   78.550               1.220                              1.220                              1.220
   78.560               1.220                              1.220                              1.220
   78.570               1.220                              1.220                              1.220
   78.580               1.220                              1.220                              1.220
   78.590               1.220                              1.220                              1.220
   78.600               1.220                              1.220                              1.220
   78.610               1.220                              1.220                              1.220
   78.620               1.220                              1.220                              1.220
   78.630               1.220                              1.220                              1.220
   78.640               1.220                              1.220                              1.220
   78.650               1.220                              1.220                              1.220
   78.660               1.220                              1.220                              1.220
   78.670               1.220                              1.220                              1.220
   78.680               1.220                              1.220                              1.220
   78.690               1.220                              1.220                              1.220
   78.700               1.220                              1.220                              1.220
   78.710               1.220                              1.220                              1.220
   78.720               1.220                              1.220                              1.220
   78.730               1.220                              1.220                              1.220
   78.740               1.220                              1.220                              1.220
   78.750               1.220                              1.220                              1.220
   78.760               1.220                              1.220                              1.220
   78.770               1.220                              1.220                              1.220
   78.780               1.220                              1.220                              1.220
   78.790               1.220                              1.220                              1.220
   78.800               1.220                              1.220                              1.220
   78.810               1.220                              1.220                              1.220
   78.820               1.220                              1.220                              1.220
   78.830               1.220                              1.220                              1.220
   78.840               1.220                              1.220                              1.220
   78.850               1.220                              1.220                              1.220
   78.860               1.220                              1.220                              1.220
