Height (m)  50th percentile particle concentration (-)  84th percentile particle concentration (-)  16th percentile particle concentration (-)
   86.660             0.20892E-10                                  0.00000E+00                                  0.12592E-07
   86.670             0.20860E-10                                  0.00000E+00                                  0.12589E-07
   86.680             0.20828E-10                                  0.00000E+00                                  0.12586E-07
   86.690             0.20796E-10                                  0.00000E+00                                  0.12582E-07
   86.700             0.20764E-10                                  0.00000E+00                                  0.12579E-07
   86.710             0.20732E-10                                  0.00000E+00                                  0.12576E-07
   86.720             0.20701E-10                                  0.00000E+00                                  0.12573E-07
   86.730             0.20669E-10                                  0.00000E+00                                  0.12570E-07
   86.740             0.20637E-10                                  0.00000E+00                                  0.12566E-07
   86.750             0.20606E-10                                  0.00000E+00                                  0.12563E-07
   86.760             0.20574E-10                                  0.00000E+00                                  0.12560E-07
   86.770             0.20542E-10                                  0.00000E+00                                  0.12557E-07
   86.780             0.20511E-10                                  0.00000E+00                                  0.12554E-07
   86.790             0.20479E-10                                  0.00000E+00                                  0.12550E-07
   86.800             0.20448E-10                                  0.00000E+00                                  0.12547E-07
   86.810             0.20416E-10                                  0.00000E+00                                  0.12544E-07
   86.820             0.20385E-10                                  0.00000E+00                                  0.12541E-07
   86.830             0.20353E-10                                  0.00000E+00                                  0.12538E-07
   86.840             0.20322E-10                                  0.00000E+00                                  0.12534E-07
   86.850             0.20291E-10                                  0.00000E+00                                  0.12531E-07
   86.860             0.20259E-10                                  0.00000E+00                                  0.12528E-07
   86.870             0.20228E-10                                  0.00000E+00                                  0.12525E-07
   86.880             0.20197E-10                                  0.00000E+00                                  0.12522E-07
   86.890             0.20166E-10                                  0.00000E+00                                  0.12518E-07
   86.900             0.20135E-10                                  0.00000E+00                                  0.12515E-07
   86.910             0.20103E-10                                  0.00000E+00                                  0.12512E-07
   86.920             0.20072E-10                                  0.00000E+00                                  0.12509E-07
   86.930             0.20041E-10                                  0.00000E+00                                  0.12506E-07
   86.940             0.20010E-10                                  0.00000E+00                                  0.12503E-07
   86.950             0.19979E-10                                  0.00000E+00                                  0.12499E-07
   86.960             0.19948E-10                                  0.00000E+00                                  0.12496E-07
   86.970             0.19917E-10                                  0.00000E+00                                  0.12493E-07
   86.980             0.19886E-10                                  0.00000E+00                                  0.12490E-07
   86.990             0.19856E-10                                  0.00000E+00                                  0.12487E-07
   87.000             0.19825E-10                                  0.00000E+00                                  0.12484E-07
   87.010             0.19794E-10                                  0.00000E+00                                  0.12480E-07
   87.020             0.19763E-10                                  0.00000E+00                                  0.12477E-07
   87.030             0.19732E-10                                  0.00000E+00                                  0.12474E-07
   87.040             0.19702E-10                                  0.00000E+00                                  0.12471E-07
   87.050             0.19671E-10                                  0.00000E+00                                  0.12468E-07
   87.060             0.19640E-10                                  0.00000E+00                                  0.12465E-07
   87.070             0.19610E-10                                  0.00000E+00                                  0.12461E-07
   87.080             0.19579E-10                                  0.00000E+00                                  0.12458E-07
   87.090             0.19549E-10                                  0.00000E+00                                  0.12455E-07
   87.100             0.19518E-10                                  0.00000E+00                                  0.12452E-07
   87.110             0.19488E-10                                  0.00000E+00                                  0.12449E-07
   87.120             0.19457E-10                                  0.00000E+00                                  0.12446E-07
   87.130             0.19427E-10                                  0.00000E+00                                  0.12442E-07
   87.140             0.19397E-10                                  0.00000E+00                                  0.12439E-07
   87.150             0.19366E-10                                  0.00000E+00                                  0.12436E-07
   87.160             0.19336E-10                                  0.00000E+00                                  0.12433E-07
   87.170             0.19306E-10                                  0.00000E+00                                  0.12430E-07
   87.180             0.19276E-10                                  0.00000E+00                                  0.12427E-07
   87.190             0.19245E-10                                  0.00000E+00                                  0.12423E-07
   87.200             0.19215E-10                                  0.00000E+00                                  0.12420E-07
   87.210             0.19185E-10                                  0.00000E+00                                  0.12417E-07
   87.220             0.19155E-10                                  0.00000E+00                                  0.12414E-07
   87.230             0.19125E-10                                  0.00000E+00                                  0.12411E-07
   87.240             0.19095E-10                                  0.00000E+00                                  0.12408E-07
   87.250             0.19065E-10                                  0.00000E+00                                  0.12405E-07
   87.260             0.19035E-10                                  0.00000E+00                                  0.12401E-07
   87.270             0.19005E-10                                  0.00000E+00                                  0.12398E-07
   87.280             0.18975E-10                                  0.00000E+00                                  0.12395E-07
   87.290             0.18945E-10                                  0.00000E+00                                  0.12392E-07
   87.300             0.18915E-10                                  0.00000E+00                                  0.12389E-07
   87.310             0.18886E-10                                  0.00000E+00                                  0.12386E-07
   87.320             0.18856E-10                                  0.00000E+00                                  0.12383E-07
   87.330             0.18826E-10                                  0.00000E+00                                  0.12379E-07
   87.340             0.18796E-10                                  0.00000E+00                                  0.12376E-07
   87.350             0.18767E-10                                  0.00000E+00                                  0.12373E-07
   87.360             0.18737E-10                                  0.00000E+00                                  0.12370E-07
   87.370             0.18708E-10                                  0.00000E+00                                  0.12367E-07
   87.380             0.18678E-10                                  0.00000E+00                                  0.12364E-07
   87.390             0.18648E-10                                  0.00000E+00                                  0.12361E-07
   87.400             0.18619E-10                                  0.00000E+00                                  0.12358E-07
   87.410             0.18590E-10                                  0.00000E+00                                  0.12354E-07
   87.420             0.18560E-10                                  0.00000E+00                                  0.12351E-07
   87.430             0.18531E-10                                  0.00000E+00                                  0.12348E-07
   87.440             0.18501E-10                                  0.00000E+00                                  0.12345E-07
   87.450             0.18472E-10                                  0.00000E+00                                  0.12342E-07
   87.460             0.18443E-10                                  0.00000E+00                                  0.12339E-07
   87.470             0.18413E-10                                  0.00000E+00                                  0.12336E-07
   87.480             0.18384E-10                                  0.00000E+00                                  0.12333E-07
   87.490             0.18355E-10                                  0.00000E+00                                  0.12329E-07
   87.500             0.18326E-10                                  0.00000E+00                                  0.12326E-07
   87.510             0.18297E-10                                  0.00000E+00                                  0.12323E-07
   87.520             0.18268E-10                                  0.00000E+00                                  0.12320E-07
   87.530             0.18238E-10                                  0.00000E+00                                  0.12317E-07
   87.540             0.18209E-10                                  0.00000E+00                                  0.12314E-07
   87.550             0.18180E-10                                  0.00000E+00                                  0.12311E-07
   87.560             0.18151E-10                                  0.00000E+00                                  0.12308E-07
   87.570             0.18122E-10                                  0.00000E+00                                  0.12304E-07
   87.580             0.18094E-10                                  0.00000E+00                                  0.12301E-07
   87.590             0.18065E-10                                  0.00000E+00                                  0.12298E-07
   87.600             0.18036E-10                                  0.00000E+00                                  0.12295E-07
   87.610             0.18007E-10                                  0.00000E+00                                  0.12292E-07
   87.620             0.17978E-10                                  0.00000E+00                                  0.12289E-07
   87.630             0.17949E-10                                  0.00000E+00                                  0.12286E-07
   87.640             0.17921E-10                                  0.00000E+00                                  0.12283E-07
   87.650             0.17892E-10                                  0.00000E+00                                  0.12280E-07
   87.660             0.17863E-10                                  0.00000E+00                                  0.12276E-07
   87.670             0.17835E-10                                  0.00000E+00                                  0.12273E-07
   87.680             0.17806E-10                                  0.00000E+00                                  0.12270E-07
   87.690             0.17778E-10                                  0.00000E+00                                  0.12267E-07
   87.700             0.17749E-10                                  0.00000E+00                                  0.12264E-07
   87.710             0.17721E-10                                  0.00000E+00                                  0.12261E-07
   87.720             0.17692E-10                                  0.00000E+00                                  0.12258E-07
   87.730             0.17664E-10                                  0.00000E+00                                  0.12255E-07
   87.740             0.17635E-10                                  0.00000E+00                                  0.12252E-07
   87.750             0.17607E-10                                  0.00000E+00                                  0.12249E-07
   87.760             0.17579E-10                                  0.00000E+00                                  0.12246E-07
   87.770             0.17550E-10                                  0.00000E+00                                  0.12242E-07
   87.780             0.17522E-10                                  0.00000E+00                                  0.12239E-07
   87.790             0.17494E-10                                  0.00000E+00                                  0.12236E-07
   87.800             0.17466E-10                                  0.00000E+00                                  0.12233E-07
   87.810             0.17437E-10                                  0.00000E+00                                  0.12230E-07
   87.820             0.17409E-10                                  0.00000E+00                                  0.12227E-07
   87.830             0.17381E-10                                  0.00000E+00                                  0.12224E-07
   87.840             0.17353E-10                                  0.00000E+00                                  0.12221E-07
   87.850             0.17325E-10                                  0.00000E+00                                  0.12218E-07
   87.860             0.17297E-10                                  0.00000E+00                                  0.12215E-07
   87.870             0.17269E-10                                  0.00000E+00                                  0.12212E-07
   87.880             0.17241E-10                                  0.00000E+00                                  0.12208E-07
   87.890             0.17213E-10                                  0.00000E+00                                  0.12205E-07
   87.900             0.17185E-10                                  0.00000E+00                                  0.12202E-07
   87.910             0.17157E-10                                  0.00000E+00                                  0.12199E-07
   87.920             0.17129E-10                                  0.00000E+00                                  0.12196E-07
   87.930             0.17102E-10                                  0.00000E+00                                  0.12193E-07
   87.940             0.17074E-10                                  0.00000E+00                                  0.12190E-07
   87.950             0.17046E-10                                  0.00000E+00                                  0.12187E-07
   87.960             0.17018E-10                                  0.00000E+00                                  0.12184E-07
   87.970             0.16991E-10                                  0.00000E+00                                  0.12181E-07
   87.980             0.16963E-10                                  0.00000E+00                                  0.12178E-07
   87.990             0.16936E-10                                  0.00000E+00                                  0.12175E-07
   88.000             0.16908E-10                                  0.00000E+00                                  0.12172E-07
   88.010             0.16880E-10                                  0.00000E+00                                  0.12169E-07
   88.020             0.16853E-10                                  0.00000E+00                                  0.12165E-07
   88.030             0.16825E-10                                  0.00000E+00                                  0.12162E-07
   88.040             0.16798E-10                                  0.00000E+00                                  0.12159E-07
   88.050             0.16771E-10                                  0.00000E+00                                  0.12156E-07
   88.060             0.16743E-10                                  0.00000E+00                                  0.12153E-07
   88.070             0.16716E-10                                  0.00000E+00                                  0.12150E-07
   88.080             0.16688E-10                                  0.00000E+00                                  0.12147E-07
   88.090             0.16661E-10                                  0.00000E+00                                  0.12144E-07
   88.100             0.16634E-10                                  0.00000E+00                                  0.12141E-07
   88.110             0.16607E-10                                  0.00000E+00                                  0.12138E-07
   88.120             0.16579E-10                                  0.00000E+00                                  0.12135E-07
   88.130             0.16552E-10                                  0.00000E+00                                  0.12132E-07
   88.140             0.16525E-10                                  0.00000E+00                                  0.12129E-07
   88.150             0.16498E-10                                  0.00000E+00                                  0.12126E-07
   88.160             0.16471E-10                                  0.00000E+00                                  0.12123E-07
   88.170             0.16444E-10                                  0.00000E+00                                  0.12120E-07
   88.180             0.16417E-10                                  0.00000E+00                                  0.12117E-07
   88.190             0.16390E-10                                  0.00000E+00                                  0.12113E-07
   88.200             0.16363E-10                                  0.00000E+00                                  0.12110E-07
   88.210             0.16336E-10                                  0.00000E+00                                  0.12107E-07
   88.220             0.16309E-10                                  0.00000E+00                                  0.12104E-07
   88.230             0.16282E-10                                  0.00000E+00                                  0.12101E-07
   88.240             0.16255E-10                                  0.00000E+00                                  0.12098E-07
   88.250             0.16228E-10                                  0.00000E+00                                  0.12095E-07
   88.260             0.16202E-10                                  0.00000E+00                                  0.12092E-07
   88.270             0.16175E-10                                  0.00000E+00                                  0.12089E-07
   88.280             0.16148E-10                                  0.00000E+00                                  0.12086E-07
   88.290             0.16122E-10                                  0.00000E+00                                  0.12083E-07
   88.300             0.16095E-10                                  0.00000E+00                                  0.12080E-07
   88.310             0.16068E-10                                  0.00000E+00                                  0.12077E-07
   88.320             0.16042E-10                                  0.00000E+00                                  0.12074E-07
   88.330             0.16015E-10                                  0.00000E+00                                  0.12071E-07
   88.340             0.15989E-10                                  0.00000E+00                                  0.12068E-07
   88.350             0.15962E-10                                  0.00000E+00                                  0.12065E-07
   88.360             0.15936E-10                                  0.00000E+00                                  0.12062E-07
   88.370             0.15909E-10                                  0.00000E+00                                  0.12059E-07
   88.380             0.15883E-10                                  0.00000E+00                                  0.12056E-07
   88.390             0.15856E-10                                  0.00000E+00                                  0.12053E-07
   88.400             0.15830E-10                                  0.00000E+00                                  0.12050E-07
   88.410             0.15804E-10                                  0.00000E+00                                  0.12047E-07
   88.420             0.15777E-10                                  0.00000E+00                                  0.12044E-07
   88.430             0.15751E-10                                  0.00000E+00                                  0.12041E-07
   88.440             0.15725E-10                                  0.00000E+00                                  0.12038E-07
   88.450             0.15699E-10                                  0.00000E+00                                  0.12035E-07
   88.460             0.15673E-10                                  0.00000E+00                                  0.12032E-07
   88.470             0.15646E-10                                  0.00000E+00                                  0.12028E-07
   88.480             0.15620E-10                                  0.00000E+00                                  0.12025E-07
   88.490             0.15594E-10                                  0.00000E+00                                  0.12022E-07
   88.500             0.15568E-10                                  0.00000E+00                                  0.12019E-07
   88.510             0.15542E-10                                  0.00000E+00                                  0.12016E-07
   88.520             0.15516E-10                                  0.00000E+00                                  0.12013E-07
   88.530             0.15490E-10                                  0.00000E+00                                  0.12010E-07
   88.540             0.15464E-10                                  0.00000E+00                                  0.12007E-07
   88.550             0.15438E-10                                  0.00000E+00                                  0.12004E-07
   88.560             0.15413E-10                                  0.00000E+00                                  0.12001E-07
   88.570             0.15387E-10                                  0.00000E+00                                  0.11998E-07
   88.580             0.15361E-10                                  0.00000E+00                                  0.11995E-07
   88.590             0.15335E-10                                  0.00000E+00                                  0.11992E-07
   88.600             0.15309E-10                                  0.00000E+00                                  0.11989E-07
   88.610             0.15284E-10                                  0.00000E+00                                  0.11986E-07
   88.620             0.15258E-10                                  0.00000E+00                                  0.11983E-07
   88.630             0.15232E-10                                  0.00000E+00                                  0.11980E-07
   88.640             0.15207E-10                                  0.00000E+00                                  0.11977E-07
   88.650             0.15181E-10                                  0.00000E+00                                  0.11974E-07
   88.660             0.15155E-10                                  0.00000E+00                                  0.11971E-07
   88.670             0.15130E-10                                  0.00000E+00                                  0.11968E-07
   88.680             0.15104E-10                                  0.00000E+00                                  0.11965E-07
   88.690             0.15079E-10                                  0.00000E+00                                  0.11962E-07
   88.700             0.15054E-10                                  0.00000E+00                                  0.11959E-07
   88.710             0.15028E-10                                  0.00000E+00                                  0.11956E-07
   88.720             0.15003E-10                                  0.00000E+00                                  0.11953E-07
   88.730             0.14977E-10                                  0.00000E+00                                  0.11950E-07
   88.740             0.14952E-10                                  0.00000E+00                                  0.11947E-07
   88.750             0.14927E-10                                  0.00000E+00                                  0.11944E-07
   88.760             0.14901E-10                                  0.00000E+00                                  0.11941E-07
   88.770             0.14876E-10                                  0.00000E+00                                  0.11938E-07
   88.780             0.14851E-10                                  0.00000E+00                                  0.11935E-07
   88.790             0.14826E-10                                  0.00000E+00                                  0.11932E-07
   88.800             0.14801E-10                                  0.00000E+00                                  0.11929E-07
   88.810             0.14775E-10                                  0.00000E+00                                  0.11926E-07
   88.820             0.14750E-10                                  0.00000E+00                                  0.11923E-07
   88.830             0.14725E-10                                  0.00000E+00                                  0.11920E-07
   88.840             0.14700E-10                                  0.00000E+00                                  0.11917E-07
   88.850             0.14675E-10                                  0.00000E+00                                  0.11914E-07
   88.860             0.14650E-10                                  0.00000E+00                                  0.11911E-07
   88.870             0.14625E-10                                  0.00000E+00                                  0.11908E-07
   88.880             0.14600E-10                                  0.00000E+00                                  0.11905E-07
   88.890             0.14576E-10                                  0.00000E+00                                  0.11902E-07
   88.900             0.14551E-10                                  0.00000E+00                                  0.11899E-07
   88.910             0.14526E-10                                  0.00000E+00                                  0.11897E-07
   88.920             0.14501E-10                                  0.00000E+00                                  0.11894E-07
   88.930             0.14476E-10                                  0.00000E+00                                  0.11891E-07
   88.940             0.14451E-10                                  0.00000E+00                                  0.11888E-07
   88.950             0.14427E-10                                  0.00000E+00                                  0.11885E-07
   88.960             0.14402E-10                                  0.00000E+00                                  0.11882E-07
   88.970             0.14377E-10                                  0.00000E+00                                  0.11879E-07
   88.980             0.14353E-10                                  0.00000E+00                                  0.11876E-07
   88.990             0.14328E-10                                  0.00000E+00                                  0.11873E-07
   89.000             0.14304E-10                                  0.00000E+00                                  0.11870E-07
   89.010             0.14279E-10                                  0.00000E+00                                  0.11867E-07
   89.020             0.14255E-10                                  0.00000E+00                                  0.11864E-07
   89.030             0.14230E-10                                  0.00000E+00                                  0.11861E-07
   89.040             0.14206E-10                                  0.00000E+00                                  0.11858E-07
   89.050             0.14181E-10                                  0.00000E+00                                  0.11855E-07
   89.060             0.14157E-10                                  0.00000E+00                                  0.11852E-07
   89.070             0.14132E-10                                  0.00000E+00                                  0.11849E-07
   89.080             0.14108E-10                                  0.00000E+00                                  0.11846E-07
   89.090             0.14084E-10                                  0.00000E+00                                  0.11843E-07
   89.100             0.14059E-10                                  0.00000E+00                                  0.11840E-07
   89.110             0.14035E-10                                  0.00000E+00                                  0.11837E-07
   89.120             0.14011E-10                                  0.00000E+00                                  0.11834E-07
   89.130             0.13987E-10                                  0.00000E+00                                  0.11831E-07
   89.140             0.13963E-10                                  0.00000E+00                                  0.11828E-07
   89.150             0.13938E-10                                  0.00000E+00                                  0.11825E-07
   89.160             0.13914E-10                                  0.00000E+00                                  0.11822E-07
   89.170             0.13890E-10                                  0.00000E+00                                  0.11819E-07
   89.180             0.13866E-10                                  0.00000E+00                                  0.11816E-07
   89.190             0.13842E-10                                  0.00000E+00                                  0.11814E-07
   89.200             0.13818E-10                                  0.00000E+00                                  0.11811E-07
   89.210             0.13794E-10                                  0.00000E+00                                  0.11808E-07
   89.220             0.13770E-10                                  0.00000E+00                                  0.11805E-07
   89.230             0.13746E-10                                  0.00000E+00                                  0.11802E-07
   89.240             0.13723E-10                                  0.00000E+00                                  0.11799E-07
   89.250             0.13699E-10                                  0.00000E+00                                  0.11796E-07
   89.260             0.13675E-10                                  0.00000E+00                                  0.11793E-07
   89.270             0.13651E-10                                  0.00000E+00                                  0.11790E-07
   89.280             0.13627E-10                                  0.00000E+00                                  0.11787E-07
   89.290             0.13604E-10                                  0.00000E+00                                  0.11784E-07
   89.300             0.13580E-10                                  0.00000E+00                                  0.11781E-07
   89.310             0.13556E-10                                  0.00000E+00                                  0.11778E-07
   89.320             0.13532E-10                                  0.00000E+00                                  0.11775E-07
   89.330             0.13509E-10                                  0.00000E+00                                  0.11772E-07
   89.340             0.13485E-10                                  0.00000E+00                                  0.11769E-07
   89.350             0.13462E-10                                  0.00000E+00                                  0.11766E-07
   89.360             0.13438E-10                                  0.00000E+00                                  0.11764E-07
   89.370             0.13415E-10                                  0.00000E+00                                  0.11761E-07
   89.380             0.13391E-10                                  0.00000E+00                                  0.11758E-07
   89.390             0.13368E-10                                  0.00000E+00                                  0.11755E-07
   89.400             0.13344E-10                                  0.00000E+00                                  0.11752E-07
   89.410             0.13321E-10                                  0.00000E+00                                  0.11749E-07
   89.420             0.13297E-10                                  0.00000E+00                                  0.11746E-07
   89.430             0.13274E-10                                  0.00000E+00                                  0.11743E-07
   89.440             0.13251E-10                                  0.00000E+00                                  0.11740E-07
   89.450             0.13227E-10                                  0.00000E+00                                  0.11737E-07
   89.460             0.13204E-10                                  0.00000E+00                                  0.11734E-07
   89.470             0.13181E-10                                  0.00000E+00                                  0.11731E-07
   89.480             0.13158E-10                                  0.00000E+00                                  0.11728E-07
   89.490             0.13135E-10                                  0.00000E+00                                  0.11725E-07
   89.500             0.13111E-10                                  0.00000E+00                                  0.11723E-07
   89.510             0.13088E-10                                  0.00000E+00                                  0.11720E-07
   89.520             0.13065E-10                                  0.00000E+00                                  0.11717E-07
   89.530             0.13042E-10                                  0.00000E+00                                  0.11714E-07
   89.540             0.13019E-10                                  0.00000E+00                                  0.11711E-07
   89.550             0.12996E-10                                  0.00000E+00                                  0.11708E-07
   89.560             0.12973E-10                                  0.00000E+00                                  0.11705E-07
   89.570             0.12950E-10                                  0.00000E+00                                  0.11702E-07
   89.580             0.12927E-10                                  0.00000E+00                                  0.11699E-07
   89.590             0.12904E-10                                  0.00000E+00                                  0.11696E-07
   89.600             0.12881E-10                                  0.00000E+00                                  0.11693E-07
   89.610             0.12859E-10                                  0.00000E+00                                  0.11690E-07
   89.620             0.12836E-10                                  0.00000E+00                                  0.11688E-07
   89.630             0.12813E-10                                  0.00000E+00                                  0.11685E-07
   89.640             0.12790E-10                                  0.00000E+00                                  0.11682E-07
   89.650             0.12767E-10                                  0.00000E+00                                  0.11679E-07
   89.660             0.12745E-10                                  0.00000E+00                                  0.11676E-07
   89.670             0.12722E-10                                  0.00000E+00                                  0.11673E-07
   89.680             0.12699E-10                                  0.00000E+00                                  0.11670E-07
   89.690             0.12677E-10                                  0.00000E+00                                  0.11667E-07
   89.700             0.12654E-10                                  0.00000E+00                                  0.11664E-07
   89.710             0.12632E-10                                  0.00000E+00                                  0.11661E-07
   89.720             0.12609E-10                                  0.00000E+00                                  0.11658E-07
   89.730             0.12587E-10                                  0.00000E+00                                  0.11656E-07
   89.740             0.12564E-10                                  0.00000E+00                                  0.11653E-07
   89.750             0.12542E-10                                  0.00000E+00                                  0.11650E-07
   89.760             0.12519E-10                                  0.00000E+00                                  0.11647E-07
   89.770             0.12497E-10                                  0.00000E+00                                  0.11644E-07
   89.780             0.12474E-10                                  0.00000E+00                                  0.11641E-07
   89.790             0.12452E-10                                  0.00000E+00                                  0.11638E-07
   89.800             0.12430E-10                                  0.00000E+00                                  0.11635E-07
   89.810             0.12407E-10                                  0.00000E+00                                  0.11632E-07
   89.820             0.12385E-10                                  0.00000E+00                                  0.11630E-07
   89.830             0.12363E-10                                  0.00000E+00                                  0.11627E-07
   89.840             0.12341E-10                                  0.00000E+00                                  0.11624E-07
   89.850             0.12318E-10                                  0.00000E+00                                  0.11621E-07
   89.860             0.12296E-10                                  0.00000E+00                                  0.11618E-07
   89.870             0.12274E-10                                  0.00000E+00                                  0.11615E-07
   89.880             0.12252E-10                                  0.00000E+00                                  0.11612E-07
   89.890             0.12230E-10                                  0.00000E+00                                  0.11609E-07
   89.900             0.12208E-10                                  0.00000E+00                                  0.11606E-07
   89.910             0.12186E-10                                  0.00000E+00                                  0.11604E-07
   89.920             0.12164E-10                                  0.00000E+00                                  0.11601E-07
   89.930             0.12142E-10                                  0.00000E+00                                  0.11598E-07
   89.940             0.12120E-10                                  0.00000E+00                                  0.11595E-07
   89.950             0.12098E-10                                  0.00000E+00                                  0.11592E-07
   89.960             0.12076E-10                                  0.00000E+00                                  0.11589E-07
   89.970             0.12054E-10                                  0.00000E+00                                  0.11586E-07
   89.980             0.12032E-10                                  0.00000E+00                                  0.11583E-07
   89.990             0.12011E-10                                  0.00000E+00                                  0.11581E-07
   90.000             0.11989E-10                                  0.00000E+00                                  0.11578E-07
   90.010             0.11967E-10                                  0.00000E+00                                  0.11575E-07
   90.020             0.11945E-10                                  0.00000E+00                                  0.11572E-07
   90.030             0.11924E-10                                  0.00000E+00                                  0.11569E-07
   90.040             0.11902E-10                                  0.00000E+00                                  0.11566E-07
   90.050             0.11880E-10                                  0.00000E+00                                  0.11563E-07
   90.060             0.11859E-10                                  0.00000E+00                                  0.11560E-07
   90.070             0.11837E-10                                  0.00000E+00                                  0.11558E-07
   90.080             0.11816E-10                                  0.00000E+00                                  0.11555E-07
   90.090             0.11794E-10                                  0.00000E+00                                  0.11552E-07
   90.100             0.11772E-10                                  0.00000E+00                                  0.11549E-07
   90.110             0.11751E-10                                  0.00000E+00                                  0.11546E-07
   90.120             0.11730E-10                                  0.00000E+00                                  0.11543E-07
   90.130             0.11708E-10                                  0.00000E+00                                  0.11540E-07
   90.140             0.11687E-10                                  0.00000E+00                                  0.11538E-07
   90.150             0.11665E-10                                  0.00000E+00                                  0.11535E-07
   90.160             0.11644E-10                                  0.00000E+00                                  0.11532E-07
   90.170             0.11623E-10                                  0.00000E+00                                  0.11529E-07
   90.180             0.11601E-10                                  0.00000E+00                                  0.11526E-07
   90.190             0.11580E-10                                  0.00000E+00                                  0.11523E-07
   90.200             0.11559E-10                                  0.00000E+00                                  0.11520E-07
   90.210             0.11538E-10                                  0.00000E+00                                  0.11518E-07
   90.220             0.11516E-10                                  0.00000E+00                                  0.11515E-07
   90.230             0.11495E-10                                  0.00000E+00                                  0.11512E-07
   90.240             0.11474E-10                                  0.00000E+00                                  0.11509E-07
   90.250             0.11453E-10                                  0.00000E+00                                  0.11506E-07
   90.260             0.11432E-10                                  0.00000E+00                                  0.11503E-07
   90.270             0.11411E-10                                  0.00000E+00                                  0.11500E-07
   90.280             0.11390E-10                                  0.00000E+00                                  0.11498E-07
