Height (m)  50th percentile particle concentration (-)  84th percentile particle concentration (-)  16th percentile particle concentration (-)
    2.730             0.25459E-05                                  0.46213E-08                                  0.68532E-05
    2.740             0.25245E-05                                  0.45612E-08                                  0.68105E-05
    2.750             0.25033E-05                                  0.45021E-08                                  0.67683E-05
    2.760             0.24824E-05                                  0.44440E-08                                  0.67264E-05
    2.770             0.24618E-05                                  0.43868E-08                                  0.66850E-05
    2.780             0.24413E-05                                  0.43305E-08                                  0.66440E-05
    2.790             0.24212E-05                                  0.42751E-08                                  0.66033E-05
    2.800             0.24012E-05                                  0.42206E-08                                  0.65631E-05
    2.810             0.23815E-05                                  0.41670E-08                                  0.65232E-05
    2.820             0.23620E-05                                  0.41142E-08                                  0.64837E-05
    2.830             0.23428E-05                                  0.40622E-08                                  0.64446E-05
    2.840             0.23237E-05                                  0.40111E-08                                  0.64059E-05
    2.850             0.23049E-05                                  0.39608E-08                                  0.63675E-05
    2.860             0.22863E-05                                  0.39113E-08                                  0.63295E-05
    2.870             0.22679E-05                                  0.38625E-08                                  0.62919E-05
    2.880             0.22498E-05                                  0.38145E-08                                  0.62546E-05
    2.890             0.22318E-05                                  0.37672E-08                                  0.62176E-05
    2.900             0.22140E-05                                  0.37207E-08                                  0.61810E-05
    2.910             0.21965E-05                                  0.36749E-08                                  0.61447E-05
    2.920             0.21791E-05                                  0.36298E-08                                  0.61088E-05
    2.930             0.21619E-05                                  0.35853E-08                                  0.60732E-05
    2.940             0.21449E-05                                  0.35416E-08                                  0.60380E-05
    2.950             0.21281E-05                                  0.34985E-08                                  0.60030E-05
    2.960             0.21115E-05                                  0.34561E-08                                  0.59684E-05
    2.970             0.20951E-05                                  0.34143E-08                                  0.59341E-05
    2.980             0.20788E-05                                  0.33732E-08                                  0.59001E-05
    2.990             0.20628E-05                                  0.33326E-08                                  0.58664E-05
    3.000             0.20469E-05                                  0.32927E-08                                  0.58330E-05
    3.010             0.20312E-05                                  0.32533E-08                                  0.57999E-05
    3.020             0.20156E-05                                  0.32146E-08                                  0.57671E-05
    3.030             0.20002E-05                                  0.31764E-08                                  0.57346E-05
    3.040             0.19850E-05                                  0.31388E-08                                  0.57023E-05
    3.050             0.19700E-05                                  0.31017E-08                                  0.56704E-05
    3.060             0.19551E-05                                  0.30652E-08                                  0.56388E-05
    3.070             0.19404E-05                                  0.30293E-08                                  0.56074E-05
    3.080             0.19258E-05                                  0.29938E-08                                  0.55763E-05
    3.090             0.19114E-05                                  0.29589E-08                                  0.55455E-05
    3.100             0.18971E-05                                  0.29244E-08                                  0.55149E-05
    3.110             0.18830E-05                                  0.28905E-08                                  0.54846E-05
    3.120             0.18690E-05                                  0.28571E-08                                  0.54546E-05
    3.130             0.18552E-05                                  0.28241E-08                                  0.54248E-05
    3.140             0.18415E-05                                  0.27916E-08                                  0.53953E-05
    3.150             0.18280E-05                                  0.27596E-08                                  0.53660E-05
    3.160             0.18146E-05                                  0.27280E-08                                  0.53370E-05
    3.170             0.18014E-05                                  0.26969E-08                                  0.53082E-05
    3.180             0.17882E-05                                  0.26662E-08                                  0.52797E-05
    3.190             0.17753E-05                                  0.26360E-08                                  0.52514E-05
    3.200             0.17624E-05                                  0.26061E-08                                  0.52234E-05
    3.210             0.17497E-05                                  0.25767E-08                                  0.51956E-05
