Height (m)  50th percentile velocity (m/s)  84th percentile velocity (m/s)  16th percentile velocity (m/s)
   97.770             33.283                           50.954                           19.974
   97.780             33.284                           50.955                           19.974
   97.790             33.284                           50.955                           19.974
   97.800             33.284                           50.955                           19.975
   97.810             33.285                           50.956                           19.975
   97.820             33.285                           50.956                           19.975
   97.830             33.285                           50.957                           19.975
   97.840             33.285                           50.957                           19.975
   97.850             33.286                           50.957                           19.975
   97.860             33.286                           50.958                           19.976
   97.870             33.286                           50.958                           19.976
   97.880             33.286                           50.959                           19.976
   97.890             33.287                           50.959                           19.976
   97.900             33.287                           50.960                           19.976
   97.910             33.287                           50.960                           19.976
   97.920             33.287                           50.960                           19.976
   97.930             33.288                           50.961                           19.977
   97.940             33.288                           50.961                           19.977
   97.950             33.288                           50.962                           19.977
   97.960             33.289                           50.962                           19.977
   97.970             33.289                           50.962                           19.977
   97.980             33.289                           50.963                           19.977
   97.990             33.289                           50.963                           19.978
   98.000             33.290                           50.964                           19.978
   98.010             33.290                           50.964                           19.978
   98.020             33.290                           50.964                           19.978
   98.030             33.290                           50.965                           19.978
   98.040             33.291                           50.965                           19.978
   98.050             33.291                           50.966                           19.979
   98.060             33.291                           50.966                           19.979
   98.070             33.292                           50.966                           19.979
   98.080             33.292                           50.967                           19.979
   98.090             33.292                           50.967                           19.979
   98.100             33.292                           50.968                           19.979
   98.110             33.293                           50.968                           19.980
   98.120             33.293                           50.969                           19.980
   98.130             33.293                           50.969                           19.980
   98.140             33.293                           50.969                           19.980
   98.150             33.294                           50.970                           19.980
   98.160             33.294                           50.970                           19.980
   98.170             33.294                           50.971                           19.981
   98.180             33.294                           50.971                           19.981
   98.190             33.295                           50.971                           19.981
   98.200             33.295                           50.972                           19.981
   98.210             33.295                           50.972                           19.981
   98.220             33.296                           50.973                           19.981
   98.230             33.296                           50.973                           19.981
   98.240             33.296                           50.973                           19.982
   98.250             33.296                           50.974                           19.982
   98.260             33.297                           50.974                           19.982
   98.270             33.297                           50.975                           19.982
   98.280             33.297                           50.975                           19.982
   98.290             33.297                           50.976                           19.982
   98.300             33.298                           50.976                           19.983
   98.310             33.298                           50.976                           19.983
   98.320             33.298                           50.977                           19.983
   98.330             33.298                           50.977                           19.983
   98.340             33.299                           50.978                           19.983
   98.350             33.299                           50.978                           19.983
   98.360             33.299                           50.978                           19.984
   98.370             33.300                           50.979                           19.984
   98.380             33.300                           50.979                           19.984
   98.390             33.300                           50.980                           19.984
   98.400             33.300                           50.980                           19.984
   98.410             33.301                           50.980                           19.984
   98.420             33.301                           50.981                           19.985
   98.430             33.301                           50.981                           19.985
   98.440             33.301                           50.982                           19.985
   98.450             33.302                           50.982                           19.985
   98.460             33.302                           50.982                           19.985
   98.470             33.302                           50.983                           19.985
   98.480             33.302                           50.983                           19.985
   98.490             33.303                           50.984                           19.986
   98.500             33.303                           50.984                           19.986
   98.510             33.303                           50.984                           19.986
   98.520             33.304                           50.985                           19.986
   98.530             33.304                           50.985                           19.986
   98.540             33.304                           50.986                           19.986
   98.550             33.304                           50.986                           19.987
   98.560             33.305                           50.987                           19.987
   98.570             33.305                           50.987                           19.987
   98.580             33.305                           50.987                           19.987
   98.590             33.305                           50.988                           19.987
   98.600             33.306                           50.988                           19.987
   98.610             33.306                           50.989                           19.988
   98.620             33.306                           50.989                           19.988
   98.630             33.306                           50.989                           19.988
   98.640             33.307                           50.990                           19.988
   98.650             33.307                           50.990                           19.988
   98.660             33.307                           50.991                           19.988
   98.670             33.308                           50.991                           19.989
   98.680             33.308                           50.991                           19.989
   98.690             33.308                           50.992                           19.989
   98.700             33.308                           50.992                           19.989
   98.710             33.309                           50.993                           19.989
   98.720             33.309                           50.993                           19.989
   98.730             33.309                           50.993                           19.989
   98.740             33.309                           50.994                           19.990
   98.750             33.310                           50.994                           19.990
   98.760             33.310                           50.995                           19.990
   98.770             33.310                           50.995                           19.990
   98.780             33.310                           50.995                           19.990
   98.790             33.311                           50.996                           19.990
   98.800             33.311                           50.996                           19.991
   98.810             33.311                           50.997                           19.991
   98.820             33.312                           50.997                           19.991
   98.830             33.312                           50.998                           19.991
   98.840             33.312                           50.998                           19.991
   98.850             33.312                           50.998                           19.991
   98.860             33.313                           50.999                           19.992
   98.870             33.313                           50.999                           19.992
   98.880             33.313                           51.000                           19.992
   98.890             33.313                           51.000                           19.992
   98.900             33.314                           51.000                           19.992
   98.910             33.314                           51.001                           19.992
   98.920             33.314                           51.001                           19.992
   98.930             33.314                           51.002                           19.993
   98.940             33.315                           51.002                           19.993
   98.950             33.315                           51.002                           19.993
   98.960             33.315                           51.003                           19.993
   98.970             33.316                           51.003                           19.993
   98.980             33.316                           51.004                           19.993
   98.990             33.316                           51.004                           19.994
   99.000             33.316                           51.004                           19.994
   99.010             33.317                           51.005                           19.994
   99.020             33.317                           51.005                           19.994
   99.030             33.317                           51.006                           19.994
   99.040             33.317                           51.006                           19.994
   99.050             33.318                           51.006                           19.995
   99.060             33.318                           51.007                           19.995
   99.070             33.318                           51.007                           19.995
   99.080             33.318                           51.008                           19.995
   99.090             33.319                           51.008                           19.995
   99.100             33.319                           51.009                           19.995
   99.110             33.319                           51.009                           19.996
   99.120             33.319                           51.009                           19.996
   99.130             33.320                           51.010                           19.996
   99.140             33.320                           51.010                           19.996
   99.150             33.320                           51.011                           19.996
   99.160             33.321                           51.011                           19.996
   99.170             33.321                           51.011                           19.996
   99.180             33.321                           51.012                           19.997
   99.190             33.321                           51.012                           19.997
   99.200             33.322                           51.013                           19.997
   99.210             33.322                           51.013                           19.997
   99.220             33.322                           51.013                           19.997
   99.230             33.322                           51.014                           19.997
   99.240             33.323                           51.014                           19.998
   99.250             33.323                           51.015                           19.998
   99.260             33.323                           51.015                           19.998
   99.270             33.323                           51.015                           19.998
   99.280             33.324                           51.016                           19.998
   99.290             33.324                           51.016                           19.998
   99.300             33.324                           51.017                           19.999
   99.310             33.325                           51.017                           19.999
   99.320             33.325                           51.017                           19.999
   99.330             33.325                           51.018                           19.999
   99.340             33.325                           51.018                           19.999
   99.350             33.326                           51.019                           19.999
   99.360             33.326                           51.019                           19.999
   99.370             33.326                           51.019                           20.000
   99.380             33.326                           51.020                           20.000
   99.390             33.327                           51.020                           20.000
   99.400             33.327                           51.021                           20.000
   99.410             33.327                           51.021                           20.000
   99.420             33.327                           51.021                           20.000
   99.430             33.328                           51.022                           20.001
   99.440             33.328                           51.022                           20.001
   99.450             33.328                           51.023                           20.001
   99.460             33.328                           51.023                           20.001
   99.470             33.329                           51.023                           20.001
   99.480             33.329                           51.024                           20.001
   99.490             33.329                           51.024                           20.002
   99.500             33.330                           51.025                           20.002
   99.510             33.330                           51.025                           20.002
   99.520             33.330                           51.026                           20.002
   99.530             33.330                           51.026                           20.002
   99.540             33.331                           51.026                           20.002
   99.550             33.331                           51.027                           20.003
   99.560             33.331                           51.027                           20.003
   99.570             33.331                           51.028                           20.003
   99.580             33.332                           51.028                           20.003
   99.590             33.332                           51.028                           20.003
   99.600             33.332                           51.029                           20.003
   99.610             33.332                           51.029                           20.003
   99.620             33.333                           51.030                           20.004
   99.630             33.333                           51.030                           20.004
   99.640             33.333                           51.030                           20.004
   99.650             33.333                           51.031                           20.004
   99.660             33.334                           51.031                           20.004
   99.670             33.334                           51.032                           20.004
   99.680             33.334                           51.032                           20.005
   99.690             33.335                           51.032                           20.005
   99.700             33.335                           51.033                           20.005
   99.710             33.335                           51.033                           20.005
   99.720             33.335                           51.034                           20.005
   99.730             33.336                           51.034                           20.005
   99.740             33.336                           51.034                           20.006
   99.750             33.336                           51.035                           20.006
   99.760             33.336                           51.035                           20.006
   99.770             33.337                           51.036                           20.006
   99.780             33.337                           51.036                           20.006
   99.790             33.337                           51.036                           20.006
   99.800             33.337                           51.037                           20.006
   99.810             33.338                           51.037                           20.007
   99.820             33.338                           51.038                           20.007
   99.830             33.338                           51.038                           20.007
   99.840             33.338                           51.038                           20.007
   99.850             33.339                           51.039                           20.007
   99.860             33.339                           51.039                           20.007
   99.870             33.339                           51.040                           20.008
   99.880             33.340                           51.040                           20.008
   99.890             33.340                           51.040                           20.008
   99.900             33.340                           51.041                           20.008
   99.910             33.340                           51.041                           20.008
   99.920             33.341                           51.042                           20.008
   99.930             33.341                           51.042                           20.009
   99.940             33.341                           51.042                           20.009
   99.950             33.341                           51.043                           20.009
   99.960             33.342                           51.043                           20.009
   99.970             33.342                           51.044                           20.009
   99.980             33.342                           51.044                           20.009
   99.990             33.342                           51.044                           20.009
  100.000             33.343                           51.045                           20.010
  100.010             33.343                           51.045                           20.010
  100.020             33.343                           51.046                           20.010
  100.030             33.343                           51.046                           20.010
  100.040             33.344                           51.046                           20.010
  100.050             33.344                           51.047                           20.010
  100.060             33.344                           51.047                           20.011
  100.070             33.345                           51.048                           20.011
  100.080             33.345                           51.048                           20.011
  100.090             33.345                           51.048                           20.011
  100.100             33.345                           51.049                           20.011
  100.110             33.346                           51.049                           20.011
  100.120             33.346                           51.050                           20.012
  100.130             33.346                           51.050                           20.012
  100.140             33.346                           51.050                           20.012
  100.150             33.347                           51.051                           20.012
  100.160             33.347                           51.051                           20.012
  100.170             33.347                           51.052                           20.012
  100.180             33.347                           51.052                           20.012
  100.190             33.348                           51.052                           20.013
  100.200             33.348                           51.053                           20.013
  100.210             33.348                           51.053                           20.013
  100.220             33.348                           51.054                           20.013
  100.230             33.349                           51.054                           20.013
  100.240             33.349                           51.054                           20.013
  100.250             33.349                           51.055                           20.014
  100.260             33.350                           51.055                           20.014
  100.270             33.350                           51.056                           20.014
  100.280             33.350                           51.056                           20.014
  100.290             33.350                           51.056                           20.014
  100.300             33.351                           51.057                           20.014
  100.310             33.351                           51.057                           20.014
  100.320             33.351                           51.058                           20.015
  100.330             33.351                           51.058                           20.015
  100.340             33.352                           51.059                           20.015
  100.350             33.352                           51.059                           20.015
  100.360             33.352                           51.059                           20.015
  100.370             33.352                           51.060                           20.015
  100.380             33.353                           51.060                           20.016
  100.390             33.353                           51.061                           20.016
  100.400             33.353                           51.061                           20.016
  100.410             33.353                           51.061                           20.016
  100.420             33.354                           51.062                           20.016
  100.430             33.354                           51.062                           20.016
  100.440             33.354                           51.063                           20.017
  100.450             33.354                           51.063                           20.017
  100.460             33.355                           51.063                           20.017
  100.470             33.355                           51.064                           20.017
  100.480             33.355                           51.064                           20.017
  100.490             33.356                           51.065                           20.017
  100.500             33.356                           51.065                           20.017
  100.510             33.356                           51.065                           20.018
  100.520             33.356                           51.066                           20.018
  100.530             33.357                           51.066                           20.018
  100.540             33.357                           51.067                           20.018
  100.550             33.357                           51.067                           20.018
  100.560             33.357                           51.067                           20.018
  100.570             33.358                           51.068                           20.019
  100.580             33.358                           51.068                           20.019
  100.590             33.358                           51.069                           20.019
  100.600             33.358                           51.069                           20.019
  100.610             33.359                           51.069                           20.019
  100.620             33.359                           51.070                           20.019
  100.630             33.359                           51.070                           20.020
  100.640             33.359                           51.071                           20.020
  100.650             33.360                           51.071                           20.020
  100.660             33.360                           51.071                           20.020
  100.670             33.360                           51.072                           20.020
  100.680             33.360                           51.072                           20.020
  100.690             33.361                           51.073                           20.020
  100.700             33.361                           51.073                           20.021
  100.710             33.361                           51.073                           20.021
  100.720             33.362                           51.074                           20.021
  100.730             33.362                           51.074                           20.021
  100.740             33.362                           51.074                           20.021
  100.750             33.362                           51.075                           20.021
  100.760             33.363                           51.075                           20.022
  100.770             33.363                           51.076                           20.022
  100.780             33.363                           51.076                           20.022
  100.790             33.363                           51.076                           20.022
  100.800             33.364                           51.077                           20.022
  100.810             33.364                           51.077                           20.022
  100.820             33.364                           51.078                           20.022
  100.830             33.364                           51.078                           20.023
  100.840             33.365                           51.078                           20.023
  100.850             33.365                           51.079                           20.023
  100.860             33.365                           51.079                           20.023
  100.870             33.365                           51.080                           20.023
  100.880             33.366                           51.080                           20.023
  100.890             33.366                           51.080                           20.024
  100.900             33.366                           51.081                           20.024
  100.910             33.366                           51.081                           20.024
  100.920             33.367                           51.082                           20.024
  100.930             33.367                           51.082                           20.024
  100.940             33.367                           51.082                           20.024
  100.950             33.368                           51.083                           20.025
  100.960             33.368                           51.083                           20.025
  100.970             33.368                           51.084                           20.025
  100.980             33.368                           51.084                           20.025
  100.990             33.369                           51.084                           20.025
  101.000             33.369                           51.085                           20.025
  101.010             33.369                           51.085                           20.025
  101.020             33.369                           51.086                           20.026
  101.030             33.370                           51.086                           20.026
  101.040             33.370                           51.086                           20.026
  101.050             33.370                           51.087                           20.026
  101.060             33.370                           51.087                           20.026
  101.070             33.371                           51.088                           20.026
  101.080             33.371                           51.088                           20.027
  101.090             33.371                           51.088                           20.027
  101.100             33.371                           51.089                           20.027
  101.110             33.372                           51.089                           20.027
  101.120             33.372                           51.090                           20.027
  101.130             33.372                           51.090                           20.027
  101.140             33.372                           51.090                           20.027
  101.150             33.373                           51.091                           20.028
  101.160             33.373                           51.091                           20.028
  101.170             33.373                           51.092                           20.028
  101.180             33.374                           51.092                           20.028
  101.190             33.374                           51.092                           20.028
  101.200             33.374                           51.093                           20.028
  101.210             33.374                           51.093                           20.029
  101.220             33.375                           51.094                           20.029
  101.230             33.375                           51.094                           20.029
  101.240             33.375                           51.094                           20.029
  101.250             33.375                           51.095                           20.029
  101.260             33.376                           51.095                           20.029
  101.270             33.376                           51.096                           20.030
  101.280             33.376                           51.096                           20.030
  101.290             33.376                           51.096                           20.030
  101.300             33.377                           51.097                           20.030
  101.310             33.377                           51.097                           20.030
  101.320             33.377                           51.098                           20.030
  101.330             33.377                           51.098                           20.030
  101.340             33.378                           51.098                           20.031
  101.350             33.378                           51.099                           20.031
  101.360             33.378                           51.099                           20.031
  101.370             33.378                           51.100                           20.031
  101.380             33.379                           51.100                           20.031
  101.390             33.379                           51.100                           20.031
  101.400             33.379                           51.101                           20.032
  101.410             33.379                           51.101                           20.032
  101.420             33.380                           51.102                           20.032
  101.430             33.380                           51.102                           20.032
  101.440             33.380                           51.102                           20.032
  101.450             33.381                           51.103                           20.032
  101.460             33.381                           51.103                           20.032
  101.470             33.381                           51.104                           20.033
  101.480             33.381                           51.104                           20.033
  101.490             33.382                           51.104                           20.033
  101.500             33.382                           51.105                           20.033
  101.510             33.382                           51.105                           20.033
  101.520             33.382                           51.106                           20.033
  101.530             33.383                           51.106                           20.034
  101.540             33.383                           51.106                           20.034
  101.550             33.383                           51.107                           20.034
  101.560             33.383                           51.107                           20.034
  101.570             33.384                           51.107                           20.034
  101.580             33.384                           51.108                           20.034
  101.590             33.384                           51.108                           20.034
  101.600             33.384                           51.109                           20.035
  101.610             33.385                           51.109                           20.035
  101.620             33.385                           51.109                           20.035
  101.630             33.385                           51.110                           20.035
  101.640             33.385                           51.110                           20.035
  101.650             33.386                           51.111                           20.035
  101.660             33.386                           51.111                           20.036
  101.670             33.386                           51.111                           20.036
  101.680             33.386                           51.112                           20.036
  101.690             33.387                           51.112                           20.036
  101.700             33.387                           51.113                           20.036
  101.710             33.387                           51.113                           20.036
  101.720             33.387                           51.113                           20.036
  101.730             33.388                           51.114                           20.037
  101.740             33.388                           51.114                           20.037
  101.750             33.388                           51.115                           20.037
  101.760             33.389                           51.115                           20.037
  101.770             33.389                           51.115                           20.037
  101.780             33.389                           51.116                           20.037
  101.790             33.389                           51.116                           20.038
  101.800             33.390                           51.117                           20.038
  101.810             33.390                           51.117                           20.038
  101.820             33.390                           51.117                           20.038
  101.830             33.390                           51.118                           20.038
  101.840             33.391                           51.118                           20.038
  101.850             33.391                           51.119                           20.039
  101.860             33.391                           51.119                           20.039
  101.870             33.391                           51.119                           20.039
  101.880             33.392                           51.120                           20.039
  101.890             33.392                           51.120                           20.039
  101.900             33.392                           51.121                           20.039
  101.910             33.392                           51.121                           20.039
  101.920             33.393                           51.121                           20.040
  101.930             33.393                           51.122                           20.040
  101.940             33.393                           51.122                           20.040
  101.950             33.393                           51.123                           20.040
  101.960             33.394                           51.123                           20.040
  101.970             33.394                           51.123                           20.040
  101.980             33.394                           51.124                           20.041
  101.990             33.394                           51.124                           20.041
  102.000             33.395                           51.124                           20.041
  102.010             33.395                           51.125                           20.041
  102.020             33.395                           51.125                           20.041
  102.030             33.395                           51.126                           20.041
  102.040             33.396                           51.126                           20.041
  102.050             33.396                           51.126                           20.042
  102.060             33.396                           51.127                           20.042
  102.070             33.397                           51.127                           20.042
  102.080             33.397                           51.128                           20.042
  102.090             33.397                           51.128                           20.042
  102.100             33.397                           51.128                           20.042
  102.110             33.398                           51.129                           20.043
  102.120             33.398                           51.129                           20.043
  102.130             33.398                           51.130                           20.043
  102.140             33.398                           51.130                           20.043
  102.150             33.399                           51.130                           20.043
  102.160             33.399                           51.131                           20.043
  102.170             33.399                           51.131                           20.043
  102.180             33.399                           51.132                           20.044
  102.190             33.400                           51.132                           20.044
  102.200             33.400                           51.132                           20.044
  102.210             33.400                           51.133                           20.044
  102.220             33.400                           51.133                           20.044
  102.230             33.401                           51.134                           20.044
  102.240             33.401                           51.134                           20.045
  102.250             33.401                           51.134                           20.045
  102.260             33.401                           51.135                           20.045
  102.270             33.402                           51.135                           20.045
  102.280             33.402                           51.135                           20.045
  102.290             33.402                           51.136                           20.045
  102.300             33.402                           51.136                           20.045
  102.310             33.403                           51.137                           20.046
  102.320             33.403                           51.137                           20.046
  102.330             33.403                           51.137                           20.046
  102.340             33.403                           51.138                           20.046
  102.350             33.404                           51.138                           20.046
  102.360             33.404                           51.139                           20.046
  102.370             33.404                           51.139                           20.047
  102.380             33.404                           51.139                           20.047
  102.390             33.405                           51.140                           20.047
  102.400             33.405                           51.140                           20.047
  102.410             33.405                           51.141                           20.047
  102.420             33.405                           51.141                           20.047
  102.430             33.406                           51.141                           20.047
  102.440             33.406                           51.142                           20.048
  102.450             33.406                           51.142                           20.048
  102.460             33.407                           51.143                           20.048
  102.470             33.407                           51.143                           20.048
  102.480             33.407                           51.143                           20.048
  102.490             33.407                           51.144                           20.048
  102.500             33.408                           51.144                           20.049
