Height (m)  50th percentile velocity (m/s)  84th percentile velocity (m/s)  16th percentile velocity (m/s)
    4.690             25.307                           38.742                           15.187
    4.700             25.312                           38.751                           15.190
    4.710             25.318                           38.760                           15.194
    4.720             25.323                           38.768                           15.197
    4.730             25.329                           38.777                           15.200
    4.740             25.335                           38.785                           15.204
    4.750             25.340                           38.794                           15.207
    4.760             25.346                           38.802                           15.210
    4.770             25.351                           38.810                           15.214
    4.780             25.357                           38.819                           15.217
    4.790             25.362                           38.827                           15.220
    4.800             25.368                           38.836                           15.224
    4.810             25.373                           38.844                           15.227
    4.820             25.378                           38.852                           15.230
    4.830             25.384                           38.861                           15.233
    4.840             25.389                           38.869                           15.237
    4.850             25.395                           38.877                           15.240
    4.860             25.400                           38.886                           15.243
    4.870             25.406                           38.894                           15.246
    4.880             25.411                           38.902                           15.250
    4.890             25.416                           38.910                           15.253
    4.900             25.422                           38.919                           15.256
    4.910             25.427                           38.927                           15.259
    4.920             25.432                           38.935                           15.263
    4.930             25.438                           38.943                           15.266
    4.940             25.443                           38.951                           15.269
    4.950             25.448                           38.959                           15.272
